,소관,회계,계정,분야,부문,프로그램,단위사업,세부사업,연도,최종예산
0,환경부,일반회계,,환경,환경일반,회계간거래(전출금),회계간전출,환경개선특별회계 전출금(일반회계에서환특으로),2016,3818347000000.0
1,환경부,환경개선특별회계,,환경,환경일반,환경행정 지원,기본경비(본부),물환경정책국기본경비(총액인건비대상),2016,118000000.0
2,환경부,환경개선특별회계,,환경,환경일반,환경보전기반육성,환경친화적경제사회기반조성,글로벌 환경기술검증기반 구축,2016,1242000000.0
3,환경부,환경개선특별회계,,환경,환경일반,환경보전기반육성,환경친화적경제사회기반조성,환경오염 피해 구제제도 개선,2016,6000000000.0
4,환경부,환경개선특별회계,,환경,환경일반,환경행정 지원,기본경비(본부),기후대기정책관실기본경비(총액인건비대상),2016,70000000.0
5,환경부,환경개선특별회계,,환경,환경일반,환경보전기반육성,환경산업 및 친환경제품보급기반구축,중소환경기업 사업화 지원사업,2016,4019000000.0
6,환경부,환경개선특별회계,,환경,환경일반,환경보전기반육성,국제환경협력,한국-UNEP 녹색경제이행지원사업(ODA),2016,930000000.0
7,환경부,환경개선특별회계,,환경,환경일반,환경행정 지원,수계관리 및 4대강 감시,새만금환경감시대운영,2016,190000000.0
8,환경부,환경개선특별회계,,환경,환경일반,환경행정 지원,기본경비(본부),자연보전국기본경비(총액인건비대상),2016,134000000.0
9,환경부,환경개선특별회계,,환경,환경일반,회계간거래(전출금),회계간전출,지역발전특별회계 전출금(경제발전계정),2016,21754000000.0
10,환경부,환경개선특별회계,,환경,환경일반,회계간거래(전출금),회계간전출,지역발전특별회계 전출금(생활기반계정),2016,315393000000.0
11,환경부,환경개선특별회계,,환경,환경일반,환경행정 지원,인건비(과학원),인건비(R&D),2016,21077744000.0
12,환경부,환경개선특별회계,,환경,환경일반,회계기금간거래(예수원금상환),예수원금상환(공자기금),공자기금예수금원금상환(총괄계정),2016,19169000000.0
13,환경부,환경개선특별회계,,환경,상하수도・수질,상하수 및 토양지하수 관리,식수원 개발 관리,물산업클러스터 조성,2016,98585000000.0
14,환경부,환경개선특별회계,,환경,환경일반,환경행정 지원,인건비(소속기관),인건비(유역지방청),2016,43653687000.0
15,환경부,환경개선특별회계,,환경,상하수도・수질,상하수 및 토양지하수 관리,하수관거정비,하수관거정비,2016,818042000000.0
16,환경부,환경개선특별회계,,환경,상하수도・수질,상하수 및 토양지하수 관리,하수관거정비,도시침수대응,2016,202543000000.0
17,환경부,환경개선특별회계,,환경,환경일반,환경보전기반육성,환경정책 및 연구정보화,환경연구정보화기반구축(정보화),2016,448000000.0
18,환경부,환경개선특별회계,,환경,상하수도・수질,수질보전 및 관리,수질개선기반구축,조류감시 및 제거 활용기술개발 및 실증화(R&D),2016,4892000000.0
19,환경부,환경개선특별회계,,환경,폐기물,자원순환기반 구축,재활용 및 처리시설 설치,폐기물 직매립 제로화 사업,2016,640000000.0
20,환경부,환경개선특별회계,,환경,환경일반,환경보전기반육성,환경정책 및 연구정보화,화학물질정보통합시스템구축(정보화),2016,1687000000.0
21,환경부,환경개선특별회계,,환경,폐기물,자원순환기반 구축,재활용 및 처리시설 설치,재활용 및 업사이클센터 설치사업,2016,3870000000.0
22,환경부,환경개선특별회계,,환경,폐기물,자원순환기반 구축,재활용 및 처리시설 설치,분리배출 취약지역 배출환경 개선사업,2016,16382000000.0
23,환경부,환경개선특별회계,,환경,환경일반,환경보전기반육성,환경정책 및 연구정보화,국가환경산업기술정보시스템구축운영(정보화),2016,1258000000.0
