연도,기준,중소기업 및 소상공인육성(억원),산업혁신지원(억원),창업 및 벤처(억원),에너지 및 자원개발(억원),무역 및 투자유치(억원),산업·중소기업일반(억원),지식재산일반(억원),산업금융지원(억원),산업진흥·고도화(억원),산업기술지원(억원)
2015,결산,0,0,41688,0,6535,4927,0,22874,88829,12844
2016,결산,0,0,36823,0,9588,5088,0,26690,94308,12569
2017,결산,0,0,32971,0,6667,5380,0,21760,108498,14531
2018,결산,0,0,33586,0,6948,5602,0,17504,108921,15114
2019,결산,75547,40790,35142,34964,8038,5975,2829,2250,0,0
2020,본예산,84448,47325,38751,44011,10182,6575,3223,2640,0,0
2021,본예산,117970,55893,45872,44617,11519,6779,3472,365,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
