연도,기준,재생에너지 및 에너지신산업활성화(억원),에너지자원정책(억원),에너지기술개발(억원),에너지공급체계구축(억원),에너지기술기반확충(억원)
2015,결산,0,0,2384,19683,403
2016,결산,0,0,2281,18188,377
2017,결산,0,0,2354,15273,297
2018,결산,0,0,2318,16015,293
2019,결산,9677,8490,6341,7380,1566
2020,본예산,10184,9490,6705,7125,2735
2021,본예산,14463,10008,8556,7708,3152
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
