연도,지방교부세(억원),교육재정교부금(억원),자치단체 국고보조금(억원),총지출(억원)
2010 ,273564 ,322980 ,317681 ,2819734 
2011 ,301659 ,352831 ,328909 ,3027908 
2012 ,330295 ,384473 ,347514 ,3210358 
2013 ,345229 ,400619 ,397853 ,3373188 
2014 ,357112 ,408681 ,404814 ,3477457 
2015 ,356381 ,401556 ,459345 ,3718002 
2016 ,379673 ,431615 ,473282 ,3846458 
2017 ,424273 ,486594 ,478058 ,4025200 
2018 ,459805 ,534334 ,505703 ,4275374 
2019 ,523081 ,590642 ,616604 ,4739287 
2020 ,522068 ,600633 ,655956 ,5122504 
2021 ,517547 ,580899 ,748016 ,5579872 
